collection_number,locality_id,continent,country,state,latitude_band,paleoocean,latitude,longitude,paleolatitude,paleolongitude,formation,member,stratscale,collection_name,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,age_range,time_interval_type,early_epoch,late_epoch,early_period,late_period,early_era,late_era,reference,collection_comments,age_evaluation,comments_evaluation,fossil_type,reference_display,reference_key
L_629,4375,South America,Chile,Atacama,Southern Temperate,Pacific,-27.066667,-70.816667,-26.91,-70.28,,,,"Caldera Mines., Copiapo, Collection P. Zennaro",,1,early Pliocene,early Pleistocene,5.3,1.8,3.5,Sub-Epoch,Pliocene,Pleistocene,Neogene,Quaternary,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 3.6 +-1.7; Coordinates estimated from a nearby landmark,valid,Age with confidence: 3.6 +-1.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_630,4377,South America,Chile,Atacama,Southern Temperate,Pacific,-27.3665,-70.3323,-27.16,-69.61,,,,"Copiapo Desert, Collection P. Zennaro",,1,early Pliocene,early Pleistocene,5.3,1.8,3.5,Sub-Epoch,Pliocene,Pleistocene,Neogene,Quaternary,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 3.6 +-1.7; Coordinates estimated from a nearby landmark,valid,Age with confidence: 3.6 +-1.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_631,4377,South America,Chile,Atacama,Southern Temperate,Pacific,-27.3665,-70.3323,-27.21,-69.79,,,,"Copiapo Desert, collection Adnet and Martin  ",,1,early Pliocene,early Pleistocene,5.3,1.8,3.5,Sub-Epoch,Pliocene,Pleistocene,Neogene,Quaternary,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 3.6 +-1.7; Coordinates estimated from a nearby landmark,valid,Age with confidence: 3.6 +-1.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_632,5013,South America,Peru,Ica,Tropical,Pacific,-13.709981,-76.203206,-13.45,-75.29,,,,"UMII collection, Pisco Formation",,1,early Pliocene,early Pleistocene,5.3,1.8,3.5,Sub-Epoch,Pliocene,Pleistocene,Neogene,Quaternary,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 3.6 +-1.7; Coordinates estimated from a nearby landmark,valid,Age with confidence: 3.6 +-1.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_633,2204,Europe,Belgium,Antwerp,Northern Temperate,Mediterranean,51.217778,4.400278,50.99,4.49,,,,"Karrendijk Sands, Collection Pieter De Schutter",,1,early Pliocene,early Pleistocene,5.3,1.8,3.5,Sub-Epoch,Pliocene,Pleistocene,Neogene,Quaternary,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 3.6 +-1.7; Coordinates estimated from a nearby landmark,valid,Age with confidence: 3.6 +-1.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_634,4378,Europe,Belgium,,Northern Temperate,Mediterranean,51.304385,4.28941,51.16,4.35,,,,"Lillo, Collection G. Van den Eeeckhaut",,1,early Pliocene,early Pleistocene,5.3,1.8,3.5,Sub-Epoch,Pliocene,Pleistocene,Neogene,Quaternary,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 3.6 +-1.7; Coordinates estimated from a nearby landmark,valid,Age with confidence: 3.6 +-1.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_635,2204,Europe,Belgium,Antwerp,Northern Temperate,Mediterranean,51.217778,4.400278,51.04,4.47,,,,"Kattendik Sands, collection Pieter de Schutter",,1,early Pliocene,early Pleistocene,5.3,1.8,3.5,Sub-Epoch,Pliocene,Pleistocene,Neogene,Quaternary,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 3.6 +-1.7; Coordinates estimated from a nearby landmark,valid,Age with confidence: 3.6 +-1.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_636,4379,North America,United States,Arkansas,Northern Temperate,Pacific,35.4496,-94.3829,36.04,-93.52,,,,"LeeCreek Mines, collection P. Zennaro",,1,early Pliocene,early Pliocene,4.1,4.1,0,Sub-Epoch,Pliocene,Pliocene,Neogene,Neogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 4.1 +-0.6; Coordinates estimated from a nearby landmark,valid,Age with confidence: 4.1 +-0.6,teeth,Adnet & Martin 2007,adnet & martin 2007
L_637,2205,Europe,Belgium,Antwerp,Northern Temperate,Mediterranean,51.217778,4.400278,51.04,4.47,,,,"Basal Kattendijk Sands, collection Pieter De Schutter",,1,early Pliocene,early Pliocene,4.1,4.1,0,Sub-Epoch,Pliocene,Pliocene,Neogene,Neogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 4.1 +-0.6; Coordinates estimated from a nearby landmark,valid,Age with confidence: 4.1 +-0.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_638,4380,Europe,Belgium,Antwerp,Northern Temperate,Neo-Tethys,51.0769,4.4233,50.02,4.49,,,,"Rumst, collection P. Zennaro",,1,early Miocene,early Pleistocene,22.4,1.8,20.6,Sub-Epoch,Miocene,Pleistocene,Neogene,Quaternary,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 12.4 +-10.6; Coordinates estimated from a nearby landmark,valid,Age with confidence: 12.4 +-10.6,teeth,Adnet & Martin 2007,adnet & martin 2007
L_639,4381,North America,United States,California,Northern Temperate,Pacific,35.405833,-119.018611,38.12,-116.05,,,,"Shark Hill, Adnet and Martin Collection",,1,early Miocene,middle Miocene,19,11.8,7.2,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 15.4 +-3.6; Coordinates estimated from a nearby landmark,valid,Age with confidence: 15.4 +-3.6,teeth,Adnet & Martin 2007,adnet & martin 2007
L_640,4383,North America,United States,California,Northern Temperate,Pacific,37,-120,41.22,-113.58,,,,"California Coast, Adnet and Martin collection",,1,late Eocene,Oligocene,37.71,23.03,14.68,Sub-Epoch,Eocene,Oligocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 28.3 +-5.3; Coordinates estimated from a nearby landmark,valid,Age with confidence: 28.3 +-5.3,teeth,Adnet & Martin 2007,adnet & martin 2007
L_641,4384,North America,United States,South Carolina,Northern Temperate,Pacific,33.9169,-80.8964,36,-70.29,,,,"Santee Limestone Fm., collection P. Zennaro",,1,Eocene,Eocene,48.6,37.2,11.4,Epoch,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 42.9 +-5.7; Coordinates estimated from a nearby landmark,valid,Age with confidence: 42.9 +-5.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_642,4385,North America,United States,North Carolina,Northern Temperate,Pacific,34.3564,-77.8992,36.11,-65.56,,,,"Castle Hayne Limmestone, collection R. Chandler",,1,Eocene,Eocene,48.6,37.2,11.4,Epoch,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 42.9 +-5.7; Coordinates estimated from a nearby landmark,valid,Age with confidence: 42.9 +-5.8,teeth,Adnet & Martin 2007,adnet & martin 2007
L_643,4386,North America,United States,,Northern Temperate,Pacific,38.454722,-77.216944,41.15,-61.01,,,,"Nanjemoy Formation, Adnet and Martin collection",,1,Eocene,Eocene,55.8,48.6,7.2,Epoch,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 52.2 +-3.6; Coordinates estimated from a nearby landmark,valid,Age with confidence: 52.2 +-3.6,teeth,Adnet & Martin 2007,adnet & martin 2007
L_644,4387,Africa,Morocco,,Northern Temperate,Atlantic,32.9,-6.95,30.19,-7.68,,,,"Ouled Abdoum, Adnet and Martin collection",,1,Eocene,Eocene,55.8,48.6,7.2,Epoch,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 52.2 +-3.6; Coordinates estimated from a nearby landmark,valid,Age with confidence: 52.2 +-3.7,teeth,Adnet & Martin 2007,adnet & martin 2007
L_645,4387,Africa,Morocco,,Northern Temperate,Atlantic,32.9,-6.95,30.3,-7.85,,,,"Ouled Abdoun, Morocco, UMII",,1,Eocene,Eocene,55.8,48.6,7.2,Epoch,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 52.2 +-3.6; Coordinates estimated from a nearby landmark,valid,Age with confidence: 52.2 +-3.8,teeth,Adnet & Martin 2007,adnet & martin 2007
L_646,4387,Africa,Morocco,,Northern Temperate,Atlantic,32.9,-6.95,30.26,-7.77,,,,"Ouled Abdoun, collection P. Zennaro",,1,Eocene,Eocene,55.8,48.6,7.2,Epoch,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 52.2 +-3.6; Coordinates estimated from a nearby landmark,valid,Age with confidence: 52.2 +-3.9,teeth,Adnet & Martin 2007,adnet & martin 2007
L_647,4389,Europe,United Kingdom,,Northern Temperate,Atlantic,51.75,0.583333,50.61,-0.27,,,,"Essex, collection P. Zennaro",,1,Eocene,Eocene,55.8,48.6,7.2,Epoch,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 52.2 +-3.6; Coordinates estimated from a nearby landmark,valid,Age with confidence: 52.2 +-3.10,teeth,Adnet & Martin 2007,adnet & martin 2007
L_648,4390,Europe,Belgium,East Flanders,Northern Temperate,Neo-Tethys,50.916667,3.933333,49.85,2.92,,,,"Egem, collection G. Van den Eeckhaut",,1,Eocene,Eocene,55.8,48.6,7.2,Epoch,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 52.2 +-3.6; Coordinates estimated from a nearby landmark,valid,Age with confidence: 52.2 +-3.11,teeth,Adnet & Martin 2007,adnet & martin 2007
L_649,4389,Europe,United Kingdom,,Northern Temperate,Atlantic,51.75,0.583333,50.52,-0.06,,,,"Essex, collection G. Vand den Eeckhaut",,1,Eocene,Eocene,55.8,48.6,7.2,Epoch,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 52.2 +-3.6; Coordinates estimated from a nearby landmark,valid,Age with confidence: 52.2 +-3.12,teeth,Adnet & Martin 2007,adnet & martin 2007
L_650,4388,Africa,Morocco,,Northern Temperate,Pacific,32.9,-6.95,30.34,-7.94,,,,"Ouled Abdoun, collection P. Zennaro",,1,late Paleocene,late Paleocene,58.65,55.75,2.9,Sub-Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 57.2 +-1.45; Coordinates estimated from a nearby landmark,valid,Age with confidence: 57.2 +-1.45,teeth,Adnet & Martin 2007,adnet & martin 2007
L_651,4388,Africa,Morocco,,Northern Temperate,Pacific,32.9,-6.95,30.42,-8.11,,,,"Ouled Abdoun, collection Adnet and Martin",,1,late Paleocene,late Paleocene,58.65,55.75,2.9,Sub-Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 57.2 +-1.45; Coordinates estimated from a nearby landmark,valid,Age with confidence: 57.2 +-1.46,teeth,Adnet & Martin 2007,adnet & martin 2007
L_652,4388,Africa,Morocco,,Northern Temperate,Pacific,32.9,-6.95,30.42,-8.11,,,,"Ouled Abdoun, UMII collection",,1,early Paleocene,early Paleocene,58.65,55.75,2.9,Sub-Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 57.2 +-1.45; Coordinates estimated from a nearby landmark,valid,Age with confidence: 52.2 +-3.15,teeth,Adnet & Martin 2007,adnet & martin 2007
L_653,5014,Africa,Morocco,,Northern Temperate,Pacific,32.9,-6.95,29.88,-8.09,,,,"Ouled Abdoun, collection P. Zennaro, Danian",,1,early Paleocene,early Paleocene,65.5,61.5,4,Sub-Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 63.5 +-2; Coordinates estimated from a nearby landmark,valid,Age with confidence: 63.5 +-2,teeth,Adnet & Martin 2007,adnet & martin 2007
L_654,5015,Africa,Morocco,,Northern Temperate,Pacific,32.9,-6.95,29.67,-8.03,,,,"Ouled Abdoun, collection P. Zennaro, Maastrichthian",,1,early Paleocene,early Paleocene,64.6,64.4,0.2,Sub-Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 64.5 +-0.1; Coordinates estimated from a nearby landmark,valid,Age with confidence: 64.5 +-0.1,teeth,Adnet & Martin 2007,adnet & martin 2007
L_655,5015,Africa,Morocco,,Northern Temperate,Pacific,32.9,-6.95,29.67,-8.03,,,,"Ouled Abdoun, UMII collection",,1,early Paleocene,early Paleocene,64.6,64.4,0.2,Sub-Epoch,Paleocene,Paleocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 64.5 +-0.1; Coordinates estimated from a nearby landmark,valid,Age with confidence: 64.5 +-0.2,teeth,Adnet & Martin 2007,adnet & martin 2007
L_656,4392,Europe,United Kingdom,,Northern Temperate,Pacific,53,-1,48.89,-1.99,,,,"South England, collection P. Zennaro",,1,late Cretaceous,early Paleocene,82,62,20,Epoch,Upper Cretaceous,Paleocene,Cretaceous,Paleogene,Mesozoic,Cenozoic,Adnet and Martin 2007,Age with confidence: 72 +-10; Coordinates estimated from a nearby landmark,valid,Age with confidence: 72 +-10,teeth,Adnet & Martin 2007,adnet & martin 2007
L_657,4393,North America,Canada,British Columbia,Northern Temperate,Arctic,54.5,-124.5,62.92,-100.16,,,,"British Columbia, collection P. Zennaro",,1,late Cretaceous,late Cretaceous,83,65,18,Epoch,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Adnet and Martin 2007,Age with confidence: 74 +-9; Coordinates estimated from a nearby landmark,valid,Age with confidence: 74 +-9,teeth,Adnet & Martin 2007,adnet & martin 2007
L_658,4394,Asia,Israel,,Northern Temperate,Tethys Seaway,31.783333,35.216667,15.89,29.35,,,,"Israel, UMII collection",,1,late Cretaceous,late Cretaceous,83,65,18,Epoch,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Adnet and Martin 2007,Age with confidence: 74 +-9; Coordinates estimated from a nearby landmark,valid,Age with confidence: 74 +-9,teeth,Adnet & Martin 2007,adnet & martin 2007
L_155,2620,Europe,France,Provence-Alpes-Côte d'Azur,Northern Temperate,Neo-Tethys,43.890318,4.914113,43.26,4.81,,,,"Bonpas, Vaucluse, Southern France",,1,middle Miocene,middle Miocene,15.97,11.63,4.34,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Adnet et al. 2006a,"teeth originally described by Ledoux, 1972, assigned to Lower Langhian, where geological information is also provided, Adnet et al. 2006 only re-described the tooth without providing information on geological setting",valid,"Lower Langhian (Ledoux, 1972)",teeth,Adnet Et Al. 2006a,adnet et al. 2006a
PBDB_61215,1766,Europe,France,,Northern Temperate,Atlantic,43.666668,-1.133333,42.28,-1.43,,,,"Quarry Miretrain, Angoumé, Landes",,2,Lutetian,Lutetian,47.8,41.2,6.6,Stage,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet et al. 2006b,based on political unit; SW of Dax (SW-France),valid,stated in the text; From PBDB: Middle Lutetian,,Adnet Et Al. 2006b,adnet et al. 2006b
PBDB_61259,1766,Europe,France,,Northern Temperate,Atlantic,43.666668,-1.133333,42.32,-1.47,,,,"Quarry St Géours-d'Auribat, Landes",,2,Lutetian,Lutetian,47.8,41.2,6.6,Stage,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet et al. 2006b,based on political unit; NE of Dax (SW-France),valid,stated in the text; From PBDB: Middle Lutetian,,Adnet Et Al. 2006b,adnet et al. 2006b
PBDB_150337,330,Asia,Pakistan,,Northern Temperate,Pacific,29.023781,68.994781,16.82,65.54,Chitarwata,Bugti,member,Kumbi,,14,Rupelian,Rupelian,33.9,27.82,6.08,Stage,Oligocene,Oligocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet et al. 2007,estimated from map;,valid,Changed min_ma from 28.1 to 27.82 based on ISC chart 2022,,Adnet Et Al. 2007,adnet et al. 2007
PBDB_150430,332,Asia,Pakistan,,Northern Temperate,Pacific,28.943291,69.215538,15.97,65.73,Chitawara,Bugti,member,Hargai,,5,Rupelian,Rupelian,33.9,27.82,6.08,Stage,Oligocene,Oligocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet et al. 2007,estimated from map;,valid,Changed min_ma from 28.1 to 27.82 based on ISC chart 2022,,Adnet Et Al. 2007,adnet et al. 2007
PBDB_151056,337,Asia,Pakistan,,Northern Temperate,Pacific,28.848015,69.180176,17.37,65.63,,,,Pazbogi Nala,Paz-bogi,1,Oligocene,Oligocene,33.9,23.03,10.87,Epoch,Oligocene,Oligocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet et al. 2007,estimated from map;,valid,Changed min_ma from 28.1 to 23.03 based on ISC chart 2022,,Adnet Et Al. 2007,adnet et al. 2007
PBDB_78362,1926,Asia,Pakistan,,Northern Temperate,Pacific,28.85,69.116669,18.5,65.55,,,,Lundo Chur J2,Bugti Hills,4,late Oligocene,late Oligocene,27.82,23.03,4.79,Sub-Epoch,Oligocene,Oligocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet et al. 2007,"estimated from map; Lundo Chur J2 locality (‚ÄòChur Lando‚Äô sensu Pilgrim, 1912; ‚ÄòSUI-1‚Äô sensu Shah and Arif, 1992; ‚ÄòDBJ2‚Äô: Dera Bugti locus J2 sensu Welcomme et al., 2001), about 25 km southeast of Dera Bugti, southern Sulaiman Range, eastern Balochistan, Pakistan\r\n\r\nAbout 10 km north of Gando√Ø Chauki; coordinate estimated from map shown in M√©tais et al. 2003",valid,late Oligocene stated in the text,,Adnet Et Al. 2007,adnet et al. 2007
PBDB_78423,1927,Asia,Pakistan,,Northern Temperate,Pacific,28.950001,69.199997,18.59,65.64,,,,Dash-I-Goran,Bugti Hills,6,late Oligocene,late Oligocene,27.82,23.03,4.79,Sub-Epoch,Oligocene,Oligocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet et al. 2007,"stated in text; ""about 12 km southeast of Dera Bugti"" and at ""N 28¬∫56.581'; E 069¬∫11.896'""",valid,"late Oligocene stated in the text; From PBDB: from the ""second ferruginous crust"" in the member, called ""DB2"" in this area and ""DB J1"" to the south; ""late Oligocene""",,Adnet Et Al. 2007,adnet et al. 2007
PBDB_78520,1930,Asia,Pakistan,,Northern Temperate,Pacific,28.85,69.133331,17.38,65.62,,,,Paali Nala level C2 (DBC2),Bugti Hills,11,Early Oligocene,Early Oligocene,33.9,27.82,6.08,Sub-Epoch,Oligocene,Oligocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Adnet et al. 2007,"stated in text; Paali Nala is ""about 12 km southeast of Dera Bugti"" and at ""N 28¬∫51.084'; E 069¬∫08.433'"" (M√©tais et al. 2006)\r\nfrom a single ""site""",valid,"age stated in the text; From PBDB: ""in the lowermost levels of the Lower Chitarwata Formation, which is early Oligocene in age""",,Adnet Et Al. 2007,adnet et al. 2007
PBDB_213709,1104,Europe,Lithuania,,Northern Temperate,Tethys Seaway,55.060001,24.372999,48.36,27.89,Jiesia,,group of beds,Greenish black muds of the Neris river,,15,late Albian,late Albian,113,100.5,12.5,Sub-Stage,Lower Cretaceous,Lower Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Adnet et al. 2008,"based on nearby landmark; Exposed along the lower reaches of the Neris river, in the Jonava area.",valid,"From PBDB: Considered to be of Cenomanian age by Dalinkeviƒçius (1935), on the basis of faunal similarity (fish and invertebrate taxa) to levels elsewhere in Europe (see also Dalinkeviƒçius, 1934). At present, this deposit is assigned to the Jiesia Formation (see Grigelis and Suveizdis, 1993; Grigelis, 1999) and dated as late Albian (Mertiniene, 1978, 1980,\r\n1982; Grigelis and Kisn√©rius, 1982).",,Adnet Et Al. 2008,adnet et al. 2008
