author,year,identifier,title,journal,DOI,abstract,author1,journal_detail,pubtype,language,source,collection_number,occurrence_number,reference_key,reference_display
"Ladwig, J.",2014,c,Die Oberkreide des Kristianstad-Gebietes im südlichen Schweden.,Arbeitskreis Paläontologie Hannover,,no abstract,Ladwig,"Arbeitskreis Paläontologie Hannover, 42: 79–89",Journal article,German,L,,"L_4761, L_4762",ladwig 2014c,Ladwig 2014c
"Ladwig, J.",2017,a,"Zähne des Hais Anomotodon plicatus ARAMBOURG, 1952 aus den Schreibkreidegruben von Lägerdorf und Kronsmoor (Schleswig-Holstein).",Arbeitskreis Paläontologie Hannover,,no abstract,Ladwig,"Arbeitskreis Paläontologie Hannover, 45: 112–117",Journal article,German,L,"L_2867, L_2868","L_4763, L_4764",ladwig 2017a,Ladwig 2017a
"Ladwig, J.",2017,b,"Ein Zahn des lamniformen Haies Carcharomodus escheri (AGASSIZ, 1843) aus dem miozänen Glimmerton von Groß Pampau (Schleswig-Holstein).",Arbeitskreis Paläontologie Hannover,,no abstract,Ladwig,"Arbeitskreis Paläontologie Hannover, 45, 75–77",Journal article,German,L,L_885,L_9416,ladwig 2017b,Ladwig 2017b
"Ladwig, J. & Polkowsky, S.",2016,,"Der Flossenstachel eines Haies der Gattung Heterodontus (Neoselachii, Heterodontiformes) aus einem Flintgeschiebe des Daniums von Fünen.",Der Geschiebesammler,,Der Flossenstacbel eines Haies der Gattung Heterodontus aus einem Dan-Flint von Fünen (Dänemark) wird vorgestellt.,Ladwig,"Der Geschiebesammler, 48 (4): 129–133",Journal article,German,L,L_1245,L_1305,ladwig & polkowsky 2016,Ladwig & Polkowsky 2016
"Lalaï D., ",1986,,Nouvelles faunes de rongeurs de la fin du Miocéne inférieur en Provence. Implications géologiques et paléogéographiques,Palaeovertebrata,,,Lalaï,,Journal article,French,PBDB,PBDB_37238,"PBDB_23960, PBDB_23961, PBDB_23962, PBDB_23963, PBDB_23964",lalai 1986,Lalaï 1986
"Lamb, J.P. & Bell, G.L. & Rinsberg A.K.",1991,,"The Catoma Creek scrap fauna (Late Cretaceous) from Montgomery county, Alabama","Fifty-First Annual Meeting, Society of Vertebate Paleontology",,"A fossil fauna represented by reworked individual bony elements and teeth has been located at several places along this drainage. Taxa identified thus far include: the chondrichthyans Cretoxyrhina mantelli, Cretolamna appendiculata, Ptychodus mortoni, Scapanorhynchus texanus, and Squalicorax kaupi; the teleosts Bananogmius, Enchodus, Pachyrhizodus, and Xiphactinus; a toxocheliid turtle; a plesiosaur; two crocodylians; the mosasaurs Platecarpus, Tylosaurus, and Halisaurus; a hadrosaur;and perhaps a small theropod.
The fossils are included within an intergradationalzone between the Tombigbee Member of the Eutaw Formationbelow and the Mooreville Chalk above. Lithologic and invertebrate faunal data suggest this deposit formed as a lag in a nearshore marine environment during a trangressive phase. Evidence also suggests a greater marine influence than is indicated at the Ellisdale Site in New Jersey. Ammonites included in these beds are latest Santonian and early Campanianforms",Lamb,"Fifty-First Annual Meeting, Society of Vertebate Paleontology, Journal of Vertebrate Paleontology, Vol. 11, No. 3, Supplement. Abstracts of Papers. ",Abstract,English,L,L_2425,"L_3061, L_3062, L_3063, L_3064, L_3065",lamb et al. 1991,Lamb et al. 1991
"Lambe L. M., ",1902,,New genera and species from the Belly River Series (mid-Cretaceous),Geological Survey of Canada Contributions to Canadian Palaeontology,,,Lambe,,Serial monograph,English,PBDB,PBDB_116536,PBDB_12362,lambe 1902,Lambe 1902
"Lambe L. M., ",1915,,Report of the vertebrate palaeontologist,Summary report of the Geological Survey Department of Mines for the Calendar Year 1914,10.4095/304644,,Lambe,,Journal article,English,PBDB,"PBDB_187420, PBDB_59217","PBDB_16739, PBDB_25748",lambe 1915,Lambe 1915
"Lambert O., de Muizon C., Bianucci G.",2015,,"A new archaic homodont toothed cetacean (Mammalia, Cetacea, Odontoceti) from the early Miocene of Peru",Geodiversitas ," 	10.5252/g2015n1a4",,Lambert,,Journal article,English,PBDB,PBDB_167732,,lambert et al. 2015,Lambert et al. 2015
"Lambrecht K., ",1929,,"Neogaeornis wetzeli, n. g., n. s., der erste Kreidevogel der südlichen Hemisphäre [Neogaeornis wetzeli n. g. n. sp. the first Cretaceous bird from the Southern Hemisphere]",Paläontologische Zeitschrift,10.1007/bf03041591,,Lambrecht,,Journal article,German,PBDB,PBDB_13309,PBDB_13030,lambrecht 1929,Lambrecht 1929
"Lancaster W. C., ",1986,,The taphonomy of an archaeocete skeleton and its associated fauna,Proceedngs of the Gulf Coast Association of Geological Societies,,,Lancaster,,Journal article,unknown,PBDB,PBDB_32925,"PBDB_23717, PBDB_23718, PBDB_23719, PBDB_23720, PBDB_23721, PBDB_23722, PBDB_23723, PBDB_23724",lancaster 1986,Lancaster 1986
"Landau B., Petit R.E., da Silva C.M.",2012,,"New Cancellariidae (Mollusca, Gastropoda) from the Miocene Gatun Formation of Panama, with eleven new species.",Journal of Paleontology," 	10.1666/12-043r.1",,Landau,,Journal article,English,PBDB,PBDB_136005,,landau et al. 2012,Landau et al. 2012
"Landemaine, O.",1991,,Sélaciens nouveaux du Crétacé supérieur du Sud-Ouest de la France. Quelques apports à la systématique des élasmobranches.,Société Amicale des Géologues Amateurs,,,Landemaine,"Société Amicale des Géologues Amateurs, 1: 1–45, 11 fig., 16 pl.",Journal article,French,L,"L_3072, L_3073, L_3074, L_3075, L_3076, L_3077, L_3078, L_3079","L_5655, L_5656, L_5657, L_5658, L_5659, L_566, L_5660, L_5661, L_5662, L_5663, L_5664, L_5665, L_5666, L_5667, L_5668, L_5669, L_567, L_5670, L_5671, L_5672, L_5673, L_5674, L_5675, L_5676, L_5677, L_5678",landemaine 1991,Landemaine 1991
"Landini W., Collareta A., C. Di Celma, E. Malinverno, M. Urbina, G. Bianucci",2019,,"The early Miocene elasmobranch assemblage from Zamaca (Chilcatay T Formation, Peru)",Journal of South American Earth Sciences,10.1016/j.jsames.2018.08.004,,Landini,,Journal article,English,PBDB,PBDB_100330,"PBDB_12063, PBDB_12054, PBDB_12055, PBDB_12056, PBDB_12057, PBDB_12058, PBDB_12059, PBDB_12060, PBDB_12061, PBDB_12062, PBDB_12064, PBDB_12065, PBDB_12066, PBDB_12067, PBDB_12068, PBDB_12069, PBDB_12070, PBDB_12071, PBDB_12072, PBDB_12073, PBDB_12074, PBDB_12075",landini et al. 2019,Landini et al. 2019
"Landini W., Sorbini L.",1992,,Données récentes sur Les téléostéens du Miocène et du Pliocéne d'Italie,Geobios,10.1016/s0016-6995(06)80324-4,,Landini,,Journal article,English,PBDB,PBDB_210230,,landini & sorbini 1992,Landini & Sorbini 1992
"Landini, W.",1977,,Revizione degli «Ittiodontoliti pliocenici» della collezione Lawley.,Palaeontographia Italica,,,Landini,"Palaeontographia Italica, 70: 92–134, 5 fig., pl. 12–16.",Journal article,Italian,L,"L_1063, L_1064, L_1065, L_1066, L_1067, L_1068, L_1069, L_1070, L_1071, L_1072, L_1073, L_1074, L_1075, L_1076, L_1077, L_1078, L_1079, L_1080, L_1081, L_1082, L_1083, L_1084, L_1085, L_1086, L_1087, L_1088, L_1089","L_11345, L_11383, L_11347, L_11348, L_11349, L_1135, L_11350, L_11392, L_11352, L_11353, L_11354, L_11355, L_11356, L_11357, L_11358, L_11359, L_1136, L_11360, L_11361, L_11362, L_11404, L_11364, L_11365, L_11370, L_11371, L_11373, L_11374, L_11375, L_11376, L_11377, L_11378, L_11379, L_1138, L_11380, L_11381, L_11382, L_11384, L_11385, L_11386, L_11387, L_11388, L_11389, L_1139, L_11390, L_11391, L_11393, L_11394, L_11395, L_11396, L_11397, L_11398, L_11399, L_114, L_1140, L_11400, L_11401, L_11402, L_11403, L_11405, L_11406, L_11407, L_11408, L_11409, L_1141, L_11410, L_11411, L_11412, L_11413, L_11414, L_11417, L_11418, L_11419, L_1142, L_11420, L_11421, L_11422, L_11423, L_11424, L_11425, L_11426, L_11427, L_11428, L_11429, L_1143, L_11430, L_11431, L_11432, L_11433, L_11434, L_11436, L_11351, L_11363, L_11372, L_11346, L_11437, L_11438, L_11439, L_1144, L_11440, L_11441, L_11442, L_11443, L_11444, L_11445, L_11446, L_11447, L_11448",landini 1977,Landini 1977
"Landini, W. & Altamirano-Sierra, A. & Collareta, A. & Di Celma, C. & Urbina, M. & Bianucci, G.",2017,,"The late Miocene elasmobranch assemblage from Cerro Colorado (Pisco Formation, Peru).",Journal of South American Earth Sciences,10.1016/j.jsames.2016.12.010,"The new late Miocene elasmobranch assemblage from Cerro Colorado (Pisco Formation) described herein provides a first comprehensive view on the composition and structure of this community in the Pisco Basin (Peru), one of the most important Neogene Konservat-Lagerst√§tten of the world. The studied assemblage includes at least 21 species attributed to 10 families and 5 orders: 7 taxa are recorded for the first time in the Pisco Formation and 3 for the first time in the fossil record of Peru. Three shark-tooth bearing intervals have been recognized at Cerro Colorado. Changes in the taxonomic composition of these three fossiliferous deposits allowed us to reconstruct ecological, trophic and environmental dynamics over the stratigraphic succession of Cerro Colorado. In particular, the environmental scenario of the most diversified shark tooth-bearing interval (ST-low1) is consistent with a shallow marine coastal area, influenced by both brackish and open sea waters, dominated by a community of small mesopredator sharks that used this ecospace as reproductive ground (nursery) and recruitment area.",Landini,"Journal of South American Earth Sciences, 73: 168-190",Journal article,English,L,"L_258, L_259, L_260, L_261","L_3764, L_3765, L_3766, L_3767, L_3768, L_3769, L_377, L_3770, L_3771, L_3772, L_3773, L_3774, L_3775, L_3776, L_3777, L_3778, L_3779, L_378, L_3780, L_3781, L_3782, L_381, L_3810, L_3811, L_3812, L_3813, L_3814, L_3828, L_3829, L_383, L_384, L_3840, L_3841",landini et al. 2017,Landini et al. 2017
"Langenwalter P. E., ",1975,,"Marine studies of San Pedro Bay, California",Chordates: The fossil vertebrates of the Los Angeles-Long Beach harbors region,,,Langenwalter,,Journal article,English,PBDB,"PBDB_20645, PBDB_20646, PBDB_84331, PBDB_85314","PBDB_17611, PBDB_17612, PBDB_17613, PBDB_17614, PBDB_17615, PBDB_27556, PBDB_17617, PBDB_17621, PBDB_17618, PBDB_17619, PBDB_17620, PBDB_17622, PBDB_17623, PBDB_10157, PBDB_10158, PBDB_10159, PBDB_1016, PBDB_10160, PBDB_10133, PBDB_10156",langenwalter 1975,Langenwalter 1975
"Langston W., ",1970,,"A fossil ray, possibly Myledaphus (Elasmobranchii: Batoidea) from the Late Cretaceous Oldman Formation of western Canada",National Museum of Natural Sciences Publications in Paleontology,,,Langston,,Serial monograph,English,PBDB,PBDB_199749,PBDB_17119,langston 1970,Langston 1970
"Langston W., ",1975,,"The ceratopsian dinosaurs and associated lower vertebrates from the St. Mary River Formation (Maestrichtian) at Scabby Butte, southern Alberta",Canadian Journal of Earth Sciences,10.1139/e75-142,,Langston,,Journal article,English,PBDB,PBDB_14502,"PBDB_13964, PBDB_13965, PBDB_13966",langston 1975,Langston 1975
"Lapparent A. F. d., ",1953,,"Gisements de Dinosauriens dans le ""Continental intercalaire"" d'In Abangarit (Sahara méridional) [Dinosaur localities in the ""Continental Intercalaire"" of In Abangarit (southern Sahara)]",Comptes Rendus de l'Académie des Sciences à Paris,,,Lapparent,,Journal article,French,PBDB,PBDB_25221,"PBDB_23360, PBDB_23361",lapparent 1953,Lapparent 1953
"Lapparent A.F.d., ",1947,,Les dinosauriens du Crétacé Supérieur du Midi de la France [The dinosaurs of the Upper Cretaceous of the south of France],Mémoires de la Société Géologique de France,,,Lapparent,,Journal article,French,PBDB,PBDB_132354,,lapparent 1947,Lapparent 1947
"Larson D. W., Brinkman D. B., P. R. Bell",2010,,"Faunal assemblages from the upper Horseshoe Canyon Formation, an early Maastrichtian cool-climate assemblage from Alberta, with special reference to the Albertosaurus sarcophagus bonebed",Canadian Journal of Earth Sciences,10.1139/E10-005,,Larson,,Journal article,English,PBDB,"PBDB_135740, PBDB_135743","PBDB_13202, PBDB_13203, PBDB_13204, PBDB_13205",larson et al. 2010,Larson et al. 2010
"Lauginiger E. M., ",1984,,"An Upper Campanian vertebrate fauna from the Chesapeake and Delaware Canal, Delaware",The Mosasaur,,,Lauginiger,,unknown,unknown,PBDB,PBDB_27570,"PBDB_23386, PBDB_23387, PBDB_23388, PBDB_23389, PBDB_23390, PBDB_23391, PBDB_23392, PBDB_23393, PBDB_23394, PBDB_23395, PBDB_23396, PBDB_23397, PBDB_23398, PBDB_23399, PBDB_23400, PBDB_23401, PBDB_23402, PBDB_23403, PBDB_23404, PBDB_27564",lauginiger 1984,Lauginiger 1984
"Lauginiger E. M., ",1986,,"An Upper Cretaceous vertebrate assemblage from Big Brook, New Jersey",The Mosasaur,,,Lauginiger,,Journal article,English,PBDB,PBDB_32181,"PBDB_23568, PBDB_23565, PBDB_23566, PBDB_23567, PBDB_23569, PBDB_23570, PBDB_23571, PBDB_23572, PBDB_23573, PBDB_23574, PBDB_23575, PBDB_23576",lauginiger 1986,Lauginiger 1986
"Lauginiger E. M., Hartstein E. F., ",1983,,"A guide to fossil sharks, skates, and rays from the Chesapeake and Delaware Canal area, Delaware",Open File Report - Delaware Geological Survey,,,Lauginiger,,Journal article,English,PBDB,"PBDB_126598, PBDB_126599, PBDB_126600, PBDB_126810, PBDB_126811, PBDB_126812","PBDB_12865, PBDB_12800, PBDB_12806, PBDB_12822, PBDB_12859, PBDB_12870, PBDB_12795, PBDB_12796, PBDB_12797, PBDB_12798, PBDB_12799, PBDB_12801, PBDB_12802, PBDB_12803, PBDB_12804, PBDB_12805, PBDB_12807, PBDB_12808, PBDB_12809, PBDB_12810, PBDB_12811, PBDB_12812, PBDB_12813, PBDB_12814, PBDB_12815, PBDB_12816, PBDB_12817, PBDB_12818, PBDB_12819, PBDB_12820, PBDB_12821, PBDB_12823, PBDB_12824, PBDB_12825, PBDB_12826, PBDB_12845, PBDB_12846, PBDB_12847, PBDB_12848, PBDB_12849, PBDB_12850, PBDB_12851, PBDB_12852, PBDB_12853, PBDB_12854, PBDB_12855, PBDB_12856, PBDB_12857, PBDB_12858, PBDB_12860, PBDB_12861, PBDB_12862, PBDB_12863, PBDB_12864, PBDB_12866, PBDB_12867, PBDB_12868, PBDB_12869, PBDB_12871, PBDB_12872",lauginiger & hartstein 1983,Lauginiger & Hartstein 1983
"Lauginiger, E.M.",1988,,Cretaceous Fossils From The Chesapeake And Delaware Canal: A Guide For Students And Collectors.,"Geological Survey, University of Delaware, Special Publication",,"Fossil collectors have been attracted to Delaware since the late 1820s when the excavation of the Chesapeake and Delaware (C&D) Canal first exposed marine fossils of Cretaceous age (Fig. 1). Since then, many technical and nontechnical works have been written about the fossils. However, there has not been a single source for casual or student collectors to turn to for help in the identification of typical finds. This paper is written to fill that void as well as provide general information about fossils and specific information on geologic formations and collecting localities at the Canal. This report is not designed to be an encyclopedia on the fossils of the Canal but focuses on those fossils found most frequently. The majority of the fossils collected today are from the spoil areas in the vicinity of the Reedy Point Bridge. Thus, the chapter on classification concentrates on the fossils of the Mount Laurel Formation, the stratigraphic unit dredged in that area. Fossils not described in this paper may be identified from other sources listed in the bibliography or by contacting one of the universities or museums that have collections of Cretaceous age fossils from Delaware. The University of Delaware, the Academy of Natural Sciences of Philadelphia, the Delaware Museum of Natural History, and the New Jersey State Museum are a few of these places. The U. S. Army Corps of Engineers museum at Chesapeake City, Maryland, has fossils on display. Rare or unusual finds of fossils should be donated for future study. There is nothing worse than having a ""one of a kind"" fossil spend years in a cardboard box only to be discarded when the collector moves on to other interests. ",Lauginiger,"Geological Survey, University of Delaware, Special Publication, 18: 61 pp",Fossil guide,English,L,"L_2561, L_2562, L_2563","L_3688, L_3689, L_369, L_3690, L_3691, L_3692, L_3693, L_3694, L_3695, L_3696, L_3697, L_3698, L_3699, L_37, L_370, L_3700, L_3701",lauginiger 1988,Lauginiger 1988
"Laurent Y., ",2003,,Les faunes de vertébrés continentaux du Maastrichtien supérieur d'Europe: systématique et biodiversité [The continental vertebrate faunas of the upper Maastrichtian of Europe: systematics and biodiversity],"Strata, Série 2",,,Laurent,,Serial monograph,French,PBDB,"PBDB_172588, PBDB_199535","PBDB_16127, PBDB_17108, PBDB_17109, PBDB_17110, PBDB_17111, PBDB_24901",laurent 2003,Laurent 2003
"Laurent Y., Adnet S., E. Bourdon, D. Corbalan, L. Danilo, S. Duffaud, G. Fleury, G. Garcia, M. Godinot, G. Le Roux, C. Maisonnave, G. Métais, C. Mourer-Chauviré, B. Presseq, B. Sigé, F. Solé",2010,,"La Borie (Saint-Papoul, Aude) : un gisement exceptionnel dans l'Éocéne basal du Sud de la France",Bulletin de la Société d'Histoire Naturelle de Toulouse,,,Laurent,,Journal article,French,PBDB,PBDB_182641,PBDB_16493,laurent et al. 2010,Laurent et al. 2010
"Laurini, C.R. & De Carvalho, M.R.",2013,,"A new look at Rhinobatiformes (Chondrichthyes) from Araripe, Lower Cretaceous of NE Brazil. Abstract.",6th International Meeting on Mesozoic Fishes – Diversification and Diversity Patterns,,abstract in copyright,Laurini,"In: SCHWARZ, C. & KRIWET, J. (editors): 6th International Meeting on Mesozoic Fishes – Diversification and Diversity Patterns, Vienna, Austria August 4th–10th, 2013: 45",Abstract,English,L,L_2869,L_4765,laurini & de carvalho 2013,Laurini & de Carvalho 2013
"Laurito C. A., ",1996,,"El género Isistius (Squalidae) en el Alto Guayacán. Formación Uscari (Mioceno Superior-Plioceno Inferior), provincia de Limón, Costa Rica",Revista Geológica de América Central,,,Laurito,,Journal article,Spanish,PBDB,PBDB_220760,PBDB_23027,laurito 1996,Laurito 1996
"Laurito C. A., ",1999,,Los selaceos fósiles de Ia localidad de Alto Guayacan ( y otros ictiolitos asociados),,,,Laurito,,Book,Spanish,PBDB,PBDB_162678,"PBDB_15790, PBDB_15791, PBDB_15792, PBDB_15793, PBDB_15794, PBDB_15795, PBDB_15796, PBDB_15797, PBDB_15798, PBDB_15799, PBDB_15800, PBDB_15801, PBDB_15802, PBDB_15803, PBDB_15804, PBDB_15805, PBDB_15806, PBDB_15807, PBDB_15808, PBDB_15809, PBDB_15810, PBDB_15811, PBDB_15812, PBDB_15813, PBDB_15814, PBDB_15815, PBDB_15816, PBDB_15817, PBDB_15818, PBDB_15819, PBDB_15820, PBDB_15821, PBDB_15822, PBDB_15823, PBDB_15824, PBDB_15825, PBDB_15826",laurito 1999,Laurito 1999
"Laurito C. A., Calvo C., A. L. Valerio, A. Calvo, R .Chacón",2014,,"Ictiofauna del Mioceno inferior de localidad de Pacuare des Tres Equis, Formación Río Banao, Provincia de Cartago, Costa Rica, y descripción de un nuevo género y una Nueva Especie de Scaridae",Revista Geoloógica de América Central,10.15517/rgac.v0i50.15121,,Laurito,,Journal article,Spanish,PBDB,PBDB_187875,"PBDB_16800, PBDB_16801, PBDB_16802, PBDB_16803, PBDB_16804, PBDB_16805, PBDB_16806, PBDB_16807",laurito et al. 2014,Laurito et al. 2014
"Laurito C. A., Valerio A. L., ",2008,,"The first record of Gavialosuchus americanus Sellards (1915)‚Ä† (Eusuchia: Crocodylidae, Tomistominae) for the Late Tertiary of Costa Rica and Central America",Revista Geológica de América Central,,,Laurito,,Journal article,English,PBDB,,"L_13911, L_13912, L_13913, L_13914, L_13915, L_13916, L_13917, L_13918, L_13919, L_13920, L_13921",laurito & valerio 2008,Laurito & Valerio 2008
"Laurito C. A., Valerio A. L., ",2012,,Paleobiogeografía del arribo de mamíferos suramericanos al sur de América Central de previo al Gran Intercambio Biótico Americano: un vistazo al GABI en América Central.,Revista Geológica de América Central,,,Laurito,,Journal article,English,PBDB,PBDB_144596,"PBDB_13907, PBDB_13901, PBDB_13902, PBDB_13903, PBDB_13904, PBDB_13905, PBDB_13906, PBDB_13908, PBDB_13909, PBDB_13910, PBDB_27499",laurito & valerio 2012,Laurito & Valerio 2012
"Laurito Mora & Valerio, A.L. ",2008,,"Ictiofauna de la localidad de San Gerardo de Limoncito, Formación Curré, Mioceno Superior, Cantón de Coto Brus, provincia de Puntarenas, Costa Rica",Revista Geológica de América Central,,"Remains of selachians (sharks rays) and other icthiolites have been collected from the Upper Miocene locality of San Gerardo of Limoncito. Three new records of fossil species of shraks are described for Central America and the Caribbean Region: Carcharhinus longimanus (Poey, 1861), Isogomphodon caneullensis (Cappetta, 1970) and Sphyrna arambourgi (Cappetta, 1970). The fauna of the Curré Formation is notable for the strong Tethisian affinity with the paleomediterranean faunas.",Laurito,"Revista Geológica de América Central, 39, 65–85",Journal article,Spanish,L,,,laurito mora & valerio 2008,Laurito Mora & Valerio 2008
"Lavocat R., ",1948,,Découverte de Crétacé à Vertébrés dans le soubassement de la Hammada du Guir (Sud marocain) [Discovery of Cretaceous with vertebrates in the basement of Hammada du Guir (southern Morocco)],Comptes Rendus de l'Académie des Sciences à Paris,,,Lavocat,,Journal article,French,PBDB,PBDB_59777,PBDB_25758,lavocat 1948,Lavocat 1948
"Le Loeuff J., Buffetaut E., G. Cuny, Y. Laurent, M. Ouaja, C. Souillat, D. Srarfi, H. Tong",2000,,Mesozoic continental vertebrates of Tunisia,"5th European Workshop on Vertebrate Palaeontology, Program. Abstracts. Excursion Guides",,,Le Loeuff,,Abstract,English,PBDB,"PBDB_163914, PBDB_163915","PBDB_15913, PBDB_15914",le loeuff et al. 2000,le Loeuff et al. 2000
"Le Roux J. P., Olivares D. M., S. N. Nielsen, N. D. Smith, H. Middleton, J. Fenner, S. E. Ishman",2006,,"Bay sedimentation as controlled by regional crustal behaviour, local tectonics and eustatic sea-level changes: Coquimbo Formation (Miocene-Pliocene), Bay of Tongoy, central Chile",Sedimentary Geology,,,Le Roux,,Journal article,English,PBDB,"PBDB_68264, PBDB_68271","PBDB_26445, PBDB_26446",le roux et al. 2006,le Roux et al. 2006
"Leakey M. G., ",1982,,Extinct large Colobines from the Plio-Pleistocene of Africa,American Journal of Physical Anthropology,10.1002/ajpa.1330580207,,Leakey,,unknown,unknown,PBDB,"PBDB_21370, PBDB_21398, PBDB_21420","PBDB_19567, PBDB_19573, PBDB_19350",leakey 1982,Leakey 1982
"Leakey R. E., Leakey M. G., ",1986,,A new Miocene hominoid from Kenya,Nature,10.1038/324143a0,,Leakey,,Journal article,unknown,PBDB,PBDB_38060,PBDB_23969,leakey & leakey 1986,Leakey & Leakey 1986
"LeBlanc A. R. H., Caldwell M. W., N. Bardet",2012,,A new mosasaurine from the Maastrichtian (Upper Cretaceous) phosphates of Morocco and its implications for mosasaurine systematics,Journal of Vertebrate Paleontology,10.1080/02724634.2012.624145,,LeBlanc,,Journal article,English,PBDB,PBDB_123268,"PBDB_12702, PBDB_12703, PBDB_12704",leblanc et al. 2012,Leblanc et al. 2012
"Leblanc, J.",2000,,"A Guide To Macrofossil Localities of Libya, Africa with notes on mineral sites.",https://sites.google.com/site/leblancjacques/home,,no abstract,Leblanc,https://sites.google.com/site/leblancjacques/home,Fossil guide,English,L,"L_665, L_666, L_667","L_807, L_8070, L_8071, L_8072, L_8073, L_8074",leblanc 2000,Leblanc 2000
"Lecuyer C., Grandjean P., F. Paris, M. Robardet, D. Robineau",1996,,"Deciphering ""temperature"" and ""salinity"" from biogenic phosphates: the 6180 of coexisting fishes and mammals of the Middle Miocene sea of western France","Palaeogeography, Palaeoclimatology, Palaeoecology",10.1016/s0031-0182(96)00070-3,,Lecuyer,,Journal article,English,PBDB,"PBDB_154318, PBDB_154319, PBDB_154321, PBDB_35441","PBDB_14477, PBDB_14478, PBDB_14479, PBDB_27504, PBDB_14480, PBDB_14481, PBDB_14482, PBDB_14483, PBDB_27505, PBDB_14484, PBDB_14485, PBDB_23866, PBDB_23867, PBDB_27570",lecuyer et al. 1996,Lecuyer et al. 1996
"Lecuyer, C. & Grandjean, P. & O'Neil, J.R. & Cappetta, H. & Martineau, F.",1993,,Thermal excursions in the ocean at the Cretaceous-Tertiary boundary (Northern Morocco) ∂O18 records of phosphatic fish debris.,"Palaeogeography, Palaeoclimatology, Palaeoecology",,High precision oxygen isotope analyses were made of phosphate extracted from 17 samples of nektonic and benthic fish debris sampled across the stratigraphic Cretaceous—Tertiary boundary in northern Morocco. A refinement of the silver phosphate method was used to isolate phosphate from biogenic materials. Measured δ18O values of 18.6–20.5‰ are interpreted as reflecting high-resolution thermal variations that affected the ocean water column of the western Tethys. The warm (27°C) water masses that characterized Maastrichtian times underwent rapid cooling and stabilized at an average temperature of 19°C during the Dano-Montian and Thanetian. This period of constant and cool temperature was followed by a relatively rapid but more gradual warming to about 25°C achieved in the Middle Ypresian. Significant small shifts in δ18O values between nektonic and benthic fauna recorded only during the stages of rapid warming or cooling may correspond to averaged thermal differences within the water column that developed in response to global climatic changes. The indicated temperature distribution could have been caused by thermal changes in the atmosphere rather than some signal carried by deep ocean currents. The oxygen isotope data coupled with previous measurements of REE and ϵNd(T) on the same samples support the suggestion that paleo-Pacific westward currents progressed as far as the northwestern part of the African platform at the end of the Cretaceous period.,Lecuyer,"Palaeogeography, Palaeoclimatology, Palaeoecology, 105 (3–4): 235–243, 2 fig.",Journal article,English,L,"L_3044, L_3045, L_3046, L_3047, L_3048, L_3049, L_3050","L_5537, L_5538, L_5539, L_554, L_5540, L_5541, L_5542, L_5543, L_5544, L_5545, L_5546, L_5547, L_5548, L_555, L_5551",lecuyer et al. 1993,Lecuyer et al. 1993
"Leder, R.M.",2013,,Eocene Carcharinidae and Triakidae (Elasmobranchii) of Crimea and Kazakhstan.,Leipziger Geowissenschaften,,"Fossil material of the Eocene marine sediments of the Crimean Simferopol Formation (Akkaja, Prolom), Novopavlovsk Formation and Al’Ma Formation (Bachthisarai) as well as the Kazakh Schorym Formation (Kujulus) has been taxonomically investigated. he following 16 taxa of fossil carcharhinid and triakid sharks could be speciied: Galeorhinus ypressiensis, Iago carlaluisai n. sp., Mustelus cf. vanderhoeti, Triakis muelleri n. sp., Triakis wardi, Triakis sp.1, Abdounia beaugei, Abdounia lappierei, Abdounia sp., Galeocerdo latidens, Physodon contortus comb. nov., Physogaleus tertius, Physogaleus sp., Morphospecies 1, Morphospecies 2, Morphospecies 3. Iago carlaluisai and Triakis muelleri were described as new species. Physodon (Müller & Henle, 1839) was reintroduced as an independent genus. It was described as sister group of Physogaleus. he proof of Physodon contortus (Winkler, 1874 B) comb. nov. for the Middle Eocene, is the oldest fossil record of this species and one of the irst safe proofs of the species in Eurasia. he habitat of the faunal community were warm and tempered ofshore waters of the littoral (Prolom, Ak-kaja, Kujulus) up to the epipelagial (Bachthisarai). he waters were nutritious and characterized by a high biodiversity. he presented fauna is a typical Tethys fauna and well correlated to Middle Eocene faunas of North Africa, Europe, India, Central Asia and North America. ",Leder,"Leipziger Geowissenschaften, 20: 1–57",Journal article,English,L,"L_1270, L_1271, L_1272, L_1273, L_1274, L_1275, L_1276, L_1277, L_1278, L_1279, L_1280, L_1281","L_1449, L_145, L_1450, L_1451, L_1452, L_1453, L_1454, L_1455, L_1456, L_1457, L_1458, L_1459, L_146, L_1460, L_1461, L_1462, L_1463, L_1464, L_1465, L_1466, L_1467, L_1468, L_1469, L_147, L_1470, L_1471, L_1472, L_1474, L_1475, L_1476",leder 2013,Leder 2013
