author,year,identifier,title,journal,keyword_time,keyword_place,described_species,described_genus,described_fam_ord,nov_fam,nov_gen,nov_sp,DOI,abstract,author1,journal_detail,pubtype,language,reference_display,reference_key
"Antoine P., Abello M. A., S. Adnet, A. J. A. Sierra, P. Baby, G. Billet, M. Boivin, Y. Calderón, A. Candela, J. Chabain, F. Corfu",2016,,"A 60-million-year Cenozoic history of western Amazonian ecosystems in Contamana, eastern Peru",Gondwana Research,,,,,,,,,10.1016/j.gr.2015.11.001,,Antoine,,Journal article,English,Antoine et al. 2016,antoine et al. 2016
"Antunes M. T., Balbino A. C., ",2003,,Uppermost Miocene Lamniform Selachians (Pisces) from the Alvalade basin (Portugal),Ciencias da Terra,,,,,,,,,,,Antunes,,Journal article,English,Antunes & Balbino 2003,antunes & balbino 2003
"Antunes, M.T. & Balbino, A.C.",2004,,"Os Carcharhiniformes (Chondrichthyes, Neoselachii) da Bacia de Alvalade (Portugal).",Revista Española de Paleontolog√≠a,"Neogene, Miocene","Europe, Portugal","Megascyliorhinus miocaenicus, Premontreia (Oxyscyllium) cf. dachiardi, Scyliorhinus joleaudi, Triakis cf. costamagnai, Mustelus sp., Galeorhinus goncalvesi, Paragaleus antunesi, Galeocerdo aduncus, Rhizoprionodon sp., Carcharhinus cf. leucas, Carcharhinus cf. perezi, Sphyrna sp., ",,,,,,,"The uppermost Miocene, Esbarrondadoiro Formation (Alvalade basin, Portugal) yielded more than 10 thousand Selachian teeth at Santa Margarida, Esbarrondadoiro and Vale de Zebro outcrops. Forty-five taxa were identified belonging to he orders Hexanchiformes, Squaliformes, Lamniformes, Carcharhiniformes, Torpediniformes and Myliobatiformes. The Carcharhiniformes make up about 40% of the selachian fauna that has been identified in the studied area. The families Scyliorhinidae, Triakidae, Hermigaleidae, Carcharhinidae and Sphyrnidae, and fifteen species are recognized. The distribution of the Carcharhiniformes by the Santa Margarida, Esbarrondadoiro and Vale de Zebro localities is shown (Table 1). The quantitative taxa distribution among these localities is very unequal. The predominant forms are Premontreia (Oxyscyllium) cf. dachiardi, Mustelus sp., Paragaleus antunesi, and especially Carcharhinus cf. perezi. The rarity of the tiger-shark, Galeocerdo, is interesting. Its decline in european seas was then obvious. It represents the last ocurrence in the Miocene of Portugal. The different distribution of the Carcharhiniformes (as well as that of the other orders) by the three sites points out to distinct environments in the corresponding areas: Esbarrondadoiro indicates relatively deeper, rather still waters; Santa Margarida represents a very littoral area and rough waters; while Vale de Zebro was a (probably inner) part of a gulf with muddy bottoms. Stenotherm, termophilous forms that were common or plentiful before are absent. The near absence of Galeocerdo gives a similar indication, as well as the total lack of termophilous crocodilians that were common until the Middle Miocene and still were represented in the Tortonian. At the Alvalade Basin localities there are several ""temperate"" elements"" that still are present in Portuguese waters. However the high frequence of Carcharhinus, a genus that is scarce at present off Portugal, indicates waters somewhat warmer than today¬¥s but less warm than during Tortonian times. This is corroborated by the large number of Dasyatis species and the rarity of Raja. We may conclude that moderately warm (less warm than during Tortonian, but warmer than today¬¥s) waters predominated in tha Alvalade Basin close by the end of Miocene. The scarcity of pelagic forms and especially of the larger pelagic predators points out to a quite narrow gulf and not to an open Atlantic front. The faunal differences between the Tortonian near Lisbon and the Messinian of the Alvalade Basin also indicate a rather confined gulf here in contrast with the open sea environments recognized for the Tortonian near Lisbon. Among the modernity signs of the Alvalade Basin selachian fauna in comparision with earlier Miocene ones are the highly developed characters of Galeocerdo and Carcharhinus.",Antunes,"Revista Española de Paleontología, 19 (1): 73-92",Journal article,Portugese,Antunes & Balbino 2004,antunes & balbino 2004
"Antunes, M.T. & Balbino, A.C.",2006,,"Latest Miocene Myliobatids (Batoidei, Selachii) from the Alvalade Basin, Portugal.",Cainozoic Research,"Neogene, Miocene","Europe, Portugal","Aetobatus cappettai, Myliobatis cf. aquila, Pteromylaeus sp.",,Myliobatidae indet.,,,Aetobatus cappettai,,"Myliobatid teeth from the Esbarrondadoiro Formation (Alvalade Basin, Portugal) are described. These teeth have been attributed to the genera Aetobatus (represented by A cappettai n. sp.), Myliobatis (M. cf. aquila) and Pteromylaeus (P. sp.). Other Myliobatid teeth are from an extinct genus whose taxonomic status remains unresolved.",Antunes,"Cainozoic Research, 4 (1-2): 41-49",Journal article,English,Antunes & Balbino 2006,antunes & balbino 2006
"Antunes, M.T. & Balbino, A.C.",2007,,"Rajiformes (Neoselachii, Batomorphii) from the Alvalade basin, Portugal.",Annales de Paleontologie,"Neogene, Miocene","Europe, Portugal","Rhynchobatus pristinus, Rhinobatos sp., Raja olisiponensis, Raja sp., ",,,,,,,"Rajiformes teeth from the Esbarrondadoiro Formation, Latest Miocene from the Alvalade basin are described. These teeth have been ascribed to the following genera: Rhynchobatus,, represented by Rhynchobatus pristinus; Rhinobatos, by Rhinobatos sp.; and Raja, by Raja olisiponensis and Raja sp. Taxonomic distribution among localities is quantitatively different, which is related to different paleoenvironmental conditions.",Antunes,"Annales de Paleontologie, 93 (2): 107-119",Journal article,English,Antunes & Balbino 2007,antunes & balbino 2007
"Antunes, M.T. & Balbino, A.C.",2010,,"The great white shark Carcharodon carcharias (Linné, 1758) in the Pliocene of Portugal and its early distribution in eastern Atlantic.",Revista Española de Paleontología,"Neogene, Pliocene","Europe, Portugal",Carcharodon carcharias,,,,,,,"Fossil great white shark Carcharodon carcharias has been recognized for the first time in Portugal near Marinha Grande in Pliocene sediments. This occurrence further broadens its already huge distribution. It is indeed the first Pliocene shark so far identified in Portugal. The great white shark is represented but by a single upper right lateral tooth lost after use from a ca. 4 m TL, adult individual. The presence is very much in agreement with all known data about Iberian Peninsula, where it really has never been found in Miocene units but becomes common in lower Pliocene levels in Spain. Although the evidence is typical, it is too scarce to allow much speculation on the species numerical importance. If however we take into account that no other shark teeth are known in the concerned sediments it can provisorily be accepted that its occurrence would be rather common. This new record for the Pliocene in Portugal underlines the closeness of the first known occurrences for the eastern Atlantic, both in its northern (as this is the case) and southern parts as shown by the referred Pliocene fauna of Farol das Lagostas, Angola. ",Antunes,"Revista Española de Paleontología, 25 (1), 1-6",Journal article,English,Antunes & Balbino 2010,antunes & balbino 2010
"Antunes, M.T. & Cappetta, H.",2002,,Sélaciens du Crétacé (Albien-Maastrichtien) d'Angola.,Palaeontographica,"Cretaceous, Late Cretaceous, Maastrichtian, Campanian, Santonian, Turonian, Cenomanian, Early Cretaceous, Albian","Africa, Angola","Ptychodus decurrens, Ptychodus latissimus, Ptychodus mammillaris, Ptychodus mortoni, Ptychodus paucisulcatus, Ptychodus whipplei, Chlamydoselachus gracilis, Chlamydoselachus goliath, Chlamydoselachus sp., Hexanchus microdon, Hexanchus cf. microdon, Notidanodon dentatus, Sphenodus sp., Echinorhinus lapaoi, Squalus aff. vondermarcki, Centrophoroides sp., Cretascymnus quimbalaensis, Heterodontus sp., Plicatoscyllium antiquum, Squalicorax gr. falcatus, Squalicorax yangaensis, Squalicorax aff. yangaensis, Squalicorax kaupi, Squalicorax sp., Carcharias amonensis, Scapanorhynchus cf. texanus, Scapanorhynchus cf. lewisii, Paranomotodon angustidens, Cretodus crassidens, Cretodus semiplicatus, Cretolamna appendiculata, Cretoxyrhina mantelli, Leptostyrax macrorhiza, Protolamna sp., Paraorthacodus sp., Pteroscyllium cf. signeuxi, Dalpiazia stromeri, Ganopristis sp., Onchosaurus pharao, Angolaia benguelaensis, Brachyrhizodus cf. wichitaensis",,"Squaliforme indent., Odontaspididae indent., ",,Angolaia,"Chlamydoselachus gracilis, Chlamydoselachus goliath, Echinorhinus lapaoi, Cretascymnus quimbalaensis, Angolaia benguelaensis,",,"The study of the Cretaceous ichthyological material from Angola allowed to record faunal successions of at lease 50 selachian species. Compared to previous studies, 24 additional species are idencified; 5 of these species arc new: Chlamydoselachus gracilis nov. sp., Cblamydoselacbus goliath nov. sp., Echinorhinus lapaoi nov. sp., Cretascymnus quimbalaensis nov. sp., Angohui benguelaertsis nov gen. nov. sp., the latter one representing a new genus. concerning the biochronological aspect, a succession of different fauna! associations is underscored. The Albian association is poor but it contains Leptostyrax macrorhizx, specics typical in the Albian from U.S.A.. The Cenomanian association is more diversified, with Carcharias amonensts which is recorded «n the Cenomanian from North-Hast Africa, Europe and North America. The Turonian associations appeared particularly rich in Ptycbodus, genus thai was considered as lacking in African deposits. The Saiitcnian-Lower Campanian association is the least typical, with few or not biochronological useful species. The Upper Campaman-Maastrichtian association is rich and diversified. It is characterized by die occurrence of several genera and species indicative of a rather deep water environment, that is quite new for faunas of this age in Africa. All the new taxa come from this association.",Antunes,"Palaeontographica, Abt. A, 264 (5–6): 85–146, 3 fig., pl. 1–12.",Journal article,French,Antunes & Cappetta 2002,antunes & cappetta 2002
"Antunes, M.T. & Jonet, S.",1970,,Requins de l'Helvétien supérieur et du Tortonien de Lisbonne.,Revista da Faculdade de Ciências de Lisboa,"Neogene, Miocene, Langhian, Serravallian, Tortonian","Europe, Portugal","Hexanchus cf. griseus, Heptranchias cf. perlo, Odontaspis taurus, Isurus cf. oxyrhinchus, Procarcharodon megalodon, Alopias cf. vulpinus, Alopias cf. superciliosus, Rhincodon miocaenicus, Scyliorhinus distans, Scyliorhinus fossilis, Galeocerdo aduncus, Hemipristis serra, Paragaleus pulchellus, Galeorhinus affinis, Negaprion cf. eurybathrodon, Scoliodon taxandriae, Aprionodon acuarius, Hypoprion acanthodon, Hypoprion sp., Carcharhinus egertoni, Carcharhinus priscus, Carcharhinus sp., Sphyrna zygaena, Squalus almeidae, Deania sp., Isistius triangulus, Squatina subserrata, Pristiophorus suevicus, ",,,,,"Squalus almeidae, Rhincodon miocaenicus",,,Antunes,"Revista da Faculdade de Ciências de Lisboa, 16 (1): 119–280, pl. 1–20",Book chapter,French,Antunes & Jonet 1970,antunes & jonet 1970
"Antunes M. T., Pais J., ",1978,,"Notas sobre depositos de Taveiro: estratigrafia, p aleontologia, idade, paleoecologia [Notes on the Taveiro deposits: stratigraphy, paleontology, age, paleoecology]",Ciências da Terra,,,,,,,,,,,Antunes,,Journal article,Portugese,Antunes & Pais 1978,antunes & pais 1978
"Antunes, M.T.",1972,,Faunules ichtyologiques oligo-miocènes de Guinée portugaise.,Revista da Faculdade de Ciências da Universidade de Lisboa,"Paleogene, Oligocene, Neogene, Miocene","Africa, Guinea-Bissau","Ginglymostoma delfortriei, Galeocerdo cf. aduncus, Carcharhinus sp., Rhinoptera cf. studeri, Aetobatus sp.,",,,,,,,"Fish remains have been found in cores from two water-drillings at Binar ( —99 m) and Cacheu ( - 54 m), in Portuguese Guinea. From the first of these localities, only a rather primitive tooth of Galeocerdo has been recovered. This, besides the fact that the drilling was carried on quite near Oligocene-Miocene cartographical limits, suggest as possible an oligocene age for this fossil. The assemblage found at Cacheu is more varied and seems to be Lower Miocene in age. Taxonomy of miocene Nurse-Sharks (Ginglymostoma) is discussed; new specimens show that distinction between G. delfortriei and G. malembeense cannot be demonstrated at present. Comparisons have been established in order to ascertain the affinities of Carcharhinus, batoid and Sphyraena remains. Fossil Sphyraena from Cacheu is clearly related to a group of species reaching a large size, still represented (and common) in tropical seas. Cacheu's assemblage is characteristic of warm, littoral sea conditions.",Antunes,"Revista da Faculdade de Ciências da Universidade de Lisboa, 17 (1): 1–18",Journal article,French,Antunes 1972,antunes 1972
"Antunes, M.T.",1972,b,Les Squales (Crétacé et Tertiaire): intérêt pour la stratigraphie et sa problématique.,Mémoire du le Bureau de Recherche et de Géologie Minière,"Cretaceous, Tertiary",,,,,,,,,"Geography distribution of sharks being generally very broad, one of the conditions required for their stratigraphic usefulness is fulfilled; another condition, i. e., short longevity, varies widely. This paper discusses :
— identification; dental variation depending on position in the mouth; dental anatomy; ontogenical variation; abnormalities;
— geographical distribution and factors that control it (currents, temperature, depth and distance from the coast, paleogeographic factors) ;
-—• longevity and evolution.
Some conclusions are presented
",Antunes,"Mémoire du le Bureau de Recherche et de Géologie Minière, 77: 345–355",Journal article,French,Antunes 1972b,antunes 1972b
"Antunes M. T.,  , ",1977,,"Late Neogene fish faunas from Angola, their age and significance",Journal of the Paleontological Society of India,,,,,,,,,,,Antunes,,Journal article,English,Antunes 1977,antunes 1977
"Antunes, M.T.",1978,,"Faunes ichthyologiques du Néogène supérieur d'Angola, leur âge, remarques sur le Pliocène marin en Afrique australe.",Ciências da Terra (UNL),"Neogene, Pliocene","Africa, Angola","Procarcharodon megalodon, Carcharodon carcharias, Isurus cf. oxyrinchus, Isurus benedeni, Odontaspis taurus, Mitsukurina sp., Galeocerdo cuvieri, Hemipristis serra, Galeorhinus sp., Paragaleus sp., Negaprion cf. brevirostris, Scoliodon sp., Aprionodon sp., Hypoprion sp., Carcharhinus sp., Sphyrna cf. zygaena, Pristis sp., Myliobatis sp., Pteromylaeus cf. bovina, Rhinoptera cf. brasiliensis, Aetobatus sp., ",,,,,,,,Antunes,"Ciências da Terra (UNL), 4: 59–90, 3 pl.",Journal article,French,Antunes 1978,antunes 1978
"Antunes, M.T. & Jonet, S. & Nascimento, A.",1981,,"Vertébrés (crocodiliens, poissons) du Miocène marin de l'Argarve occidentale.",Ciências da Terra (UNL),"Neogene, Miocene, Burdigalian","Europe, Portugal","Hexanchus sp., Odontaspis taurus, Odontaspis cf. molassica, Isurus cf. oxyrhinchus, Procarcharodon megalodon, Alopias vulpinus, Ginglymostoma delfortriei, Scyliorhinus fossilis, Scyliorhinus distans, Scyliorhinus sp., Galeocerdo aduncus, Hemipristis serra, Hemigaleus sp., Paragaleus pulchellus, Negaprion eurybathrodon, Scoliodon taxandriae, Scoliodon sp., Aprionodon cf. lerichei, Hypoprion acanthodon, Carcharhinus egertoni, Carcharhinus priscus, Carcharhinus sp., Sphyrna zygaena, Isistius sp., Squatina cf. subserrata, Raja olisiponensis, Rhynchobatus pristinus, Rhinobatos sp., Dasyatis rugosa, Dasyatis cavernosa, Dasyatis sp., Mobula loupianensis, Myliobatis sp., Rhinoptera sp.,",,,,,,,,Antunes,"Ciências da Terra (UNL), 6: 9–38",Journal article,French,Antunes et al. 1981,antunes et al. 1981
"Antunes M. T., Balbino A. C., H. Cappetta",1999,,Sélaciens du Miocéne terminal du bassin d'Alvalade (Portugal) Essai de synthése,Ciências da Terra,,,,,,,,,,,Antunes,,Journal article,French,Antunes et al. 1999,antunes et al. 1999
"Antunes M. T., Legoinha P., A. Balbino",2015,,"Megalodon, mako shark and planktonic foraminifera from the continental shelf off Portugal and their age",Geologica Acta,,,,,,,,,10.1344/GeologicaActa2015.13.3.1,,Antunes,,Journal article,English,Antunes et al. 2015,antunes et al. 2015
"Antunes M.T., Mein P., Paris J.",1986,,"Depósito messianos do sul de Portugal, mamíferos (incluindo Rodentia e Lagomorpha) e idades K-Ar*",Ciéncias da Terra,,,,,,,,,,,Antunes,,Journal article,English,Antunes et al. 1986,antunes et al. 1986
"Apolin, J.",2001,,"Isurus oxyrinchus rafinesque, 1810 ""Mako de aletas cortas"" como posible ancestro de Carcharodon carcharias (Linnaeus, 1758) ""Tiburón blanco"" (Chondrichthyes: Lamnidae). ",Universidad Nacional Mayor De San Marcos,"rezent, Miocene",,"Isurus oxyrinchus, Carcharodon carcharias",,,,,,,"The evolution of Carcharodon carcharias is a theme of discussion among those who state it belongs to an ancient lineage (60 million years), and those who propose a more recent origin (6 million years) from Isurus hastalis. In this thesis Isurus oxyrinchus is proposed as the direct ancestor of C. carcharias, based on morphological, stratigraphic, phylogenetic, ontogenetic and ecological principles. Once the species and morphologies under study were defined, they were related to the Stratigraphic Levels and Formations where they were found, so as to determine the age in which each species developed, proving in this way a gradual change. In order to give more support to these observations, the results were compared with a phylogenetic analysis of the involved species and an ontogenetic analysis based on the two living species involved (I. oxyrinchus and C. carcharias); moreover, comparisons were made of the habitat and food of the extant species with the paleoenvironment and fauna of the geological formations involved in this study. The results obtained show concordance with a gradual evolution model, which caused the appearance of C. carcharias from initial species morphologically identical to the extant I. oxyrinchus which it was transforming in successive geologic stages producing other 7 chronospecies before the apparition of the morphology of the extant C. carcharias. This evolutionary process may have started approximately 27 million years ago. Besides, it was concluded that the apomorphic characters in this anagenetic series correspond to the final stages of a process of Peramorphosis (appearance of new Hyper-adult characters). It was also concluded that a coastal environment had a positive effect on the acceleration of the evolutionary processes that cause that a primarily pelagic species (I. oxyrinchus, which has been remained morphologically stable for approximately 27 million years) is transformed, through a series of geologically fast morphological changes, in a new species of mainly coastal habits (C. carcharias). ",Apolín,"Thesis, UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS, Lima",Thesis,Spanish,Apolin 2001,apolin 2001
"Apolín J., González-Barba G., J. N. Martínez",2007,,"Seláceos del Mioceno superior de Quebrada Pajaritos (Piura, Perú)",XII Congreso Peruano de Geología. Resúmenes Extendidos,,,,,,,,,,,Apolín,,Abstract,Spanish,Apolín et al. 2007,apolin et al. 2007
"Applegate S., Uyeno T., ",1968,,"The First Discovery of a Fossil Tooth belonging to the Shark Genus Heptracnchias, with a New Pristiophorus Spine, Both from the Oligocene of Japan","Bulletin of the National Science Museum, Tokyo",,,,,,,,,,,Applegate,,Journal article,English,Applegate & Uyeno 1968,applegate & uyeno 1968
"Applegate, S.P.",1964,,"First record of the extinct shark, Squalicorax falcatus, from California.",Bulletin of the Southern California Academy of Sciences,"Cretaceous, Late Cretaceous","North America, California",Squalicorax falcatus,,,,,,,no abstract,Applegate,"Bulletin of the Southern California Academy of Sciences, 63 (1): 42-43",Journal article,English,Applegate 1964,applegate 1964
"Applegate, S.P.",1964,b,"A shark tail from the Miocene of Palos Verdes Hills, California.",Bulletin of the Southern Academy of Science,"Neogene, Miocene","North America, California",Isurus sp.,Isurus,,,,,,no abstract,Applegate,"Bulletin of the Southern Academy of Science, 63 (4): 181-184, 2 figs.",Journal article,English,Applegate 1964b,applegate 1964b
"Applegate S. P.,  , ",1968,,A large fossil sand shark of the genus Odontaspis from Oregon,The Ore Bin,,,,,,,,,,,Applegate,,Journal article,English,Applegate 1968,applegate 1968
"Applegate S. P.,  , ",1969,,Digging fossil whales in Mississippi with southern hospitality,Los Angeles County Museum of Natural History Quarterly,,,,,,,,,,,Applegate,,Journal article,English,Applegate 1969,applegate 1969
"Applegate, S.P.",1970,,The vertebrate fauna of the Selma Formation of Alabama. Part VIII. The fishes.,Fieldiana Geology,"Cretaceous, Late Cretaceous,","North America, Alabama","Edaphodon barberi, Ptychodus polygurus, Ptychodus mortoni, Squalicorax falcatus, Squalicorax pristodontus, Pseudocorax affinis, Scapanorhynchus rhaphiodon, Scapanorhynchus rapax, Lamna appendiculata, Isurus mantelli,",,,,,,,,Applegate,"Fieldiana Geology, Mem., 3 (8): 1–72",Book chapter,English,Applegate 1970,applegate 1970
"Applegate S. P.,  , ",1978,,"Phyletic studies; part 1, Tiger sharks",Revista Mexicana de Ciencias Geológicas,,,,,,,,,,,Applegate,,Journal article,English,Applegate 1978,applegate 1978
"Arambourg C., Joleaud L., ",1943,,Vertébrés fossiles du bassin du Niger [Fossil vertebrates of the Niger basin],Bulletin de la Service des Mines de l'Afrique Occidentale Française,,,,,,,,,,,Arambourg,,Journal article,French,Arambourg & Joleaud 1943,arambourg & joleaud 1943
"Arambourg C., Magnier P., ",1961,,Gisements de Vertebres dans le bassin teriaire de Syrte (Libye),Comptes Rendus de Academie des Sciences,,,,,,,,,,,Arambourg,,Journal article,English,Arambourg & Magnier 1961,arambourg & magnier 1961
"Arambourg C.,  , ",1927,,Les Poissons fossiles d'Oran,"Materiaux Pour la Carte Geologique de l'Algerie, 1re Serie, Paleontologie",,,,,,,,,,,Arambourg,,Journal article,English,Arambourg 1927,arambourg 1927
"Aranda-Manteca F. J.,  , ",2005,,"Fauna local La Mision, Mioceno Medio, Baja California, Mexico",Congresso Latino-Americano de Paleontologia de Vertebrados,,,,,,,,,,,Aranda-Manteca,,Abstract,Spanish,Aranda-manteca 2005,aranda manteca 2005
"Arata A. A., Jackson G. C., ",1965,,Cenozoic vertebrates from the Gulf Coastal Plain - I,Tulane Studies in Geology,,,,,,,,,,,Arata,,Journal article,unknown,Arata & Jackson 1965,arata & jackson 1965
"Araujo Tavora V., dos Santos A. A. R., R. N. Araujo",2010,,Localidades fossiliferas da Formacao Pirabas (Mioceno Inferior),"Boletim do Museu Paraense Emílio Goeldi Ciências Naturais, Belém",,,,,,,,,,,Araujo Tavora,,Journal article,English,Araujo Tavora et al. 2010,araujo tavora et al. 2010
Archibald J.D.,1982,,"A study of Mammalia and geology across the Cretaceous-Tertiary boundary in Garfield County, Montana.",University of California Publications in Geological Sciences,,,,,,,,,10.1016/0195-6671(83)90052-6,,Archibald,,Journal article,English,Archibald 1982,archibald 1982
"Argyriou, T.",2014,,"Description, paleoenvironmental and paleobiogeographical implications of Miocene fish faunas from Jabal Zaltan and Sahabi (Libya)",University of Alberta,Neogene,"Africa, Libya",,,,,,,,"The Libyan fossiliferous sites of Jabal Zaltan (early to middle Miocene) and Sahabi (late Miocene) have been excavated for decades and have produced an immense diversity of vertebrate fossils including fish. Fish remains from a recent field campaign at the two sites are described here in detail. The new, greatly expanded, ichthyofaunal lists add considerably to our knowledge of the fossil fish diversity present at the two sites. Several first occurrences of fish taxa in the African continent or the fossil record are also recorded. The increased knowledge of the two Libyan ichthyofaunas allows for accurate reconstructions of the paleoenvironments present in their vicinity at the time of the deposition of their sediments. The biogeographical affinities of the two faunas are also discussed in detail. Paleoichthyological data from Sahabi and other penecontemporaneous African ichthyofaunas are used to discuss various proposed scenarios for the paleohydrology of the Sahara during the Messinian.",Argyriou,"Thesis (MSc.), University of Alberta, USA",Thesis,English,Argyriou 2014,argyriou 2014
"Argyriou, T. & Cook, T.D. & Muftah, A.M. & Pavlakis, P. & Boaz, N.T. & Murray, A.M.",2015,,"A fish assemblage from an early Miocene horizon from Jabal Zaltan, Libya.",Journal of African Earth Sciences,"Neogene, Miocene","Africa, Libya","Galeocerdo mayumbensis, Negaprion cf. eurybathrodon, Hemipristis serra, Pastinachus sp., Pteromylaeus sp., ",,,,,,10.1016/j.jafrearsci.2014.11.008,"Recent excavations and prospecting in the early to middle Miocene deposits of the Maradah Formation in Jabal Zaltan, Libya, yielded a diverse fish assemblage coming from an early Miocene locality. The material described here includes more than 18 marine and freshwater taxa most of which were previously unreported from the area. Jabal Zaltan is one of the very few early Miocene Afroarabian fossil sites that produced such a diverse fish sample. Therefore, the fossils described here provide a unique insight into the composition of the early Miocene fish faunas from the northern African coast; a critical time period for faunas of the continent, as contact with Eurasia ended 100 million years of African isolation. In addition, the Jabal Zaltan fossils help consolidate the validity of Galeocerdo mayumbensis and extend its geographic range to include the Tethys. The Maradah deposits also host the first occurrences of two genera (Pteromylaeus, Distichodus) in the fossil record. The fish finds support the presumed depositional environment that of tropical shallow estuarine to deltaic conditions, and the freshwater fishes document the presence of a modern-type Nilosudanian fauna containing elements with both African and Asian affinities. The Jabal Zaltan ichthyofauna, with its diversity of taxa, has the potential to become a key reference fauna for future studies of early Miocene African fishes.",Argyriou,"Journal of African Earth Sciences, 102: 86-101",Journal article,English,Argyriou et al. 2015,argyriou et al. 2015
"Armstrong-Ziegler J. G.,  , ",1978,,An aniliid snake and associated vertebrates from the Campanian of New Mexico,Journal of Paleontology,,,,,,,,,,,Armstrong-Ziegler,,Journal article,unknown,Armstrong-ziegler 1978,armstrong ziegler 1978
"Arnold R., Hannibal H., ",1913,,The marine Tertiary stratigraphy of the North Pacific coast of America,Proceedings of the American Philosophical Society,,,,,,,,,,,Arnold,,Journal article,English,Arnold & Hannibal 1913,arnold & hannibal 1913
"Arnold R.,  , ",1903,,"The Paleontology and Stratigraphy of the Marine Pliocene and Pleistocene of San Pedro, California",Contributions to Biology from The Hopkins Seaside Laboratory,,,,,,,,,,,Arnold,,Book chapter,English,Arnold 1903,arnold 1903
"Arratia G., Cione A. L., ",1996,,The Record of Fossil Fishes of Southern South America,Münchner Geowissenschaftlichen Abhandlungen,,,,,,,,,,,Arratia,,Journal article,English,Arratia & Cione 1996,arratia & cione 1996
"Arua I., Rao V.R., ",1987,,"New stratigraphic data on the Eocene Ameki Formation, southeastern Nigeria",Journal of African Earth Sciences,,,,,,,,,10.1016/0899-5362(87)90082-0,,Arua,,Journal article,unknown,Arua & Rao 1987,arua & rao 1987
"Arua I.,  , ",1988,,Paleoecology of the Eocene Ameki Formation of southeastern Nigeria,Journal of African Earth Sciences,,,,,,,,,10.1016/0899-5362(88)90007-3,,Arua,,unknown,unknown,Arua 1988,arua 1988
"Ashby J. R., Minch J. A., ",1984,,"The upper Pliocene San Diego Formation and the occurrence of Carcharodon megalodon at La Joya, Tijuana, Baja California, Mexico","Miocene and Cretaceous Depositional Environments of Northwestern Baja California, Mexico: Pacific Section AAPG Guidebook",,,,,,,,,,,Ashby,,Journal article,English,Ashby & Minch 1984,ashby & minch 1984
"Astibia H., Buffetaut E., A. D. Buscalioni, H. Cappetta, C. Corral, R. Estes, F. Garcia-Garmilla, J. J. Jaeger, E. Jiminez-Fuentes, J. Le Loeuff, J. M. Mazin, X. Orue-Etexebarria, J. Pereda-Suberbiola, J. E. Powell, J. C. Rage, J. Rodriguez-Lazaro, J. L. Sanz, H. Tong",1990,,"The fossil vertebrates from the Lano (Basque Country, Spain); new evidence on the composition and affinities of the Late Cretaceous continental faunas of Europe",Terra Nova,,,,,,,,,10.1111/j.1365-3121.1990.tb00103.x,,Astibia,,Journal article,English,Astibia et al. 1990,astibia et al. 1990
"Astibia H., Payros A., S. Ortiz, J. Elorza, G. Álvarez-Pérez, A. Badiola, N. Bardet, A. Berreteaga, M.A. Bitner, S. Calzada, J.C. Corral, I. Díaz-Martínez, D. Merle, J.-M. Pacaud, X. Pereda-Suberbiola, A. Pisera, F.J. Rodríguez-Tovar, J. Tosquella",2016,,"Fossil associations from the middle and upper Eocene strata of the Pamplona Basin and surrounding areas (Navarre, western Pyrenees)",Journal of Iberian Geology,,,,,,,,,10.5209/rev_JIGE.2016.v42.n1.51601,,Astibia,,Journal article,English,Astibia et al. 2016,astibia et al. 2016
"Astre G.,  , ",1954,,Gisements les plus orientaux d'Halitherium dans le Stampien marin du Bordelais.,Bulletin du Museum d'Histoire Naturelle de Toulouse,,,,,,,,,,,Astre,,Journal article,French,Astre 1954,astre 1954
"Atterholt J., Jefferson G., E. Schachner",2007,,New marine vertebrates from the Yuha Member of the Deguynos Formation of Anza-Borrego Desert State Park,Journal of Vertebrate Paleontology,,,,,,,,,,,Atterholt,,Abstract,English,Atterholt et al. 2007,atterholt et al. 2007
"Auffenberg W.,  , ",1954,,Additional specimens of Gavialosuchus americanus (Sellards) from a new locality in Florida,The Quarterly Journal of the Florida Academy of Sciences,,,,,,,,,,,Auffenberg,,Journal article,English,Auffenberg 1954,auffenberg 1954
"Auffenberg W.,  , ",1957,,Notes on fossil crocodilians from Southeastern United States,Quarterly Journal of The Florida Academy of Sciences,,,,,,,,,,,Auffenberg,,Journal article,English,Auffenberg 1957,auffenberg 1957
"Augé M., Ginsburg L., F. L. de Broin, M. Makinsky, C. Mourer, D. Poiut, S. Sen",2002,,"Les vertébrés du Miocéne moyen de Contres (Loir-et-Cher, France)",Revue de Paléobiologie,,,,,,,,,,,Augé,,Journal article,French,Augé et al. 2002,auge et al. 2002
"Averianov, A.O. & Glikman, L.S.",1996,,"A new species of squalid shark from the Lower Paleocene of the Saratov province, Russia (Chondrichthyes: Squalidae).",Zoosystematica Rossica,"Paleogene, Paleocene","Asia, Russia",Centrophoroides volgensis,,,,,Centrophoroides volgensis,,"Centrophoroides volgensis sp. n. from the Lower Paleocene (Danian) deposits near Lysye Gory village in Saratov Prov. (Russia) is described. It is characterized by the relatively large size of teeth, relatively high main cusp and widened basement of the apron on tooth crowns.",Averianov,"Zoosystematica Rossica, 4: 317–319, fig. 1–6.",Journal article,English,Averianov & Glikman 1996,averianov & glikman 1996
